,country,review_description,designation,points,price,winery,variety,region
88,28,243,63.0,92,1.0,1982,16.0,686
89,19,186,-1.0,89,1.0,1643,2.0,939
90,7,327,64.0,92,1.0,12108,1.0,737
91,28,223,-1.0,92,1.0,11361,16.0,536
92,12,185,65.0,90,1.0,3929,7.0,174
93,37,251,66.0,88,1.0,10529,5.0,1358
94,12,222,-1.0,87,1.0,2820,11.0,85
95,37,229,38.0,89,1.0,6090,5.0,228
96,37,391,-1.0,92,1.0,10571,7.0,377
97,37,398,67.0,92,2.0,11493,5.0,321
98,19,251,68.0,91,1.0,13085,1.0,1247
99,37,182,38.0,86,1.0,12092,0.0,399
100,37,244,-1.0,87,1.0,8426,13.0,337
101,37,154,69.0,87,1.0,8835,7.0,886
102,34,253,70.0,89,1.0,4700,25.0,860
103,37,218,-1.0,84,1.0,13491,0.0,809
104,2,277,71.0,93,1.0,8823,0.0,1377
105,37,219,72.0,88,1.0,14487,1.0,1369
106,12,139,73.0,86,1.0,5215,0.0,126
107,37,307,-1.0,87,1.0,421,8.0,321
108,34,261,74.0,90,1.0,13845,1.0,680
109,37,266,75.0,91,1.0,7487,5.0,321
110,12,164,76.0,85,1.0,12140,19.0,707
111,12,216,-1.0,89,1.0,7505,9.0,49
112,19,164,-1.0,86,1.0,4513,14.0,1060
113,37,359,77.0,90,1.0,10625,7.0,891
114,37,330,78.0,93,1.0,11748,5.0,321
115,28,227,79.0,88,1.0,6354,23.0,1192
116,37,342,80.0,92,1.0,10412,7.0,369
117,37,328,81.0,89,1.0,788,13.0,1358
118,12,116,82.0,89,1.0,7492,8.0,704
119,37,197,38.0,89,1.0,12533,5.0,1358
120,37,251,-1.0,84,1.0,12992,0.0,1340
121,37,260,-1.0,92,1.0,12554,0.0,377
122,12,167,83.0,87,1.0,9769,0.0,221
123,12,265,84.0,88,1.0,5835,22.0,11
124,18,321,85.0,88,1.0,12933,5.0,584
125,12,201,86.0,87,1.0,3173,3.0,59
126,37,207,-1.0,88,1.0,12766,7.0,269
127,12,113,87.0,85,1.0,7934,20.0,510
128,37,225,-1.0,88,1.0,1413,5.0,1369
129,7,281,88.0,86,1.0,4540,21.0,987
130,11,408,89.0,91,1.0,1340,0.0,549
131,26,257,90.0,87,1.0,14012,26.0,541
132,2,219,91.0,89,1.0,7966,23.0,1191
133,37,248,92.0,91,1.0,8581,23.0,236
134,19,305,93.0,89,1.0,7723,12.0,1247
135,37,238,-1.0,84,1.0,7221,6.0,13
136,37,368,-1.0,91,1.0,7981,25.0,897
137,37,176,94.0,87,1.0,751,7.0,399
138,0,278,95.0,83,1.0,1692,4.0,754
139,37,219,-1.0,87,1.0,290,26.0,361
140,19,295,96.0,92,1.0,1476,2.0,941
141,19,198,97.0,84,1.0,13943,23.0,1307
142,4,261,98.0,87,1.0,12017,1.0,101
143,37,186,99.0,86,1.0,530,7.0,902
144,37,264,100.0,88,1.0,12622,5.0,304
145,7,236,101.0,89,1.0,12099,5.0,516
146,26,330,102.0,90,1.0,4430,8.0,743
147,37,92,103.0,83,1.0,6045,19.0,337
148,12,179,104.0,87,1.0,3594,11.0,58
149,37,262,105.0,92,1.0,2252,7.0,370
150,12,197,23.0,88,1.0,7309,26.0,11
151,37,198,106.0,88,1.0,11855,22.0,805
152,37,184,107.0,84,1.0,13419,1.0,244
153,7,242,108.0,87,1.0,2474,5.0,746
154,37,304,-1.0,92,1.0,12644,0.0,348
155,37,197,56.0,89,1.0,13459,7.0,889
156,33,237,109.0,88,1.0,12655,8.0,513
157,37,214,-1.0,86,1.0,7214,5.0,244
158,7,219,110.0,89,1.0,573,21.0,524
159,37,220,111.0,91,1.0,2348,23.0,378
160,37,361,112.0,93,1.0,10437,13.0,321
161,12,174,-1.0,89,1.0,2737,11.0,77
162,19,207,113.0,90,1.0,13193,12.0,1219
163,19,270,114.0,89,1.0,11209,2.0,939
164,19,213,115.0,90,1.0,2051,2.0,939
165,37,238,-1.0,88,1.0,8603,5.0,230
166,37,149,-1.0,86,1.0,8603,0.0,348
167,19,217,-1.0,88,1.0,10401,2.0,939
168,37,226,85.0,90,1.0,10446,0.0,267
169,12,161,5.0,87,1.0,4076,11.0,57
170,12,249,116.0,93,1.0,5199,9.0,45
171,37,302,117.0,93,1.0,824,13.0,361
172,37,196,-1.0,91,1.0,527,5.0,1358
173,19,233,118.0,88,2.0,10998,2.0,939
174,37,149,119.0,85,1.0,4612,18.0,370
175,19,209,-1.0,88,1.0,10998,2.0,939
176,12,258,120.0,93,1.0,10082,20.0,510
177,34,171,121.0,84,1.0,14636,8.0,493
178,3,211,122.0,90,1.0,9009,10.0,620
179,29,132,123.0,86,1.0,4710,7.0,1024
180,7,193,-1.0,86,1.0,4806,21.0,506
181,37,337,124.0,95,1.0,7542,13.0,244
182,19,208,125.0,88,1.0,2125,1.0,1219
183,37,394,-1.0,89,1.0,10471,25.0,893
184,37,180,126.0,88,1.0,12679,14.0,228
185,34,336,-1.0,89,1.0,13830,1.0,432
186,34,256,127.0,91,1.0,12398,25.0,860
187,37,279,128.0,89,1.0,146,7.0,229
188,14,237,129.0,87,1.0,7300,22.0,992
189,37,259,130.0,88,1.0,1024,8.0,244
190,37,180,-1.0,89,1.0,1106,8.0,269
191,32,120,131.0,85,1.0,719,7.0,968
192,19,243,-1.0,88,1.0,12650,1.0,1306
193,12,183,132.0,90,1.0,4026,9.0,44
194,0,226,133.0,88,1.0,14678,15.0,758
195,28,331,134.0,87,1.0,7523,16.0,7
196,37,295,80.0,93,1.0,5116,0.0,369
197,12,175,-1.0,89,1.0,9093,7.0,129
198,3,286,135.0,89,1.0,12014,22.0,625
199,12,215,-1.0,88,1.0,3327,19.0,979
200,34,162,136.0,83,1.0,6836,23.0,426
201,37,219,38.0,87,1.0,8697,15.0,271
202,12,273,-1.0,94,1.0,11798,0.0,146
203,12,211,-1.0,90,1.0,2805,11.0,57
204,37,228,137.0,88,1.0,14338,18.0,230
205,12,170,-1.0,86,1.0,11607,8.0,710
206,37,428,138.0,91,1.0,2250,19.0,900
207,34,259,-1.0,87,1.0,8880,1.0,432
208,37,237,-1.0,87,1.0,7019,0.0,366
209,37,272,-1.0,87,1.0,8326,19.0,811
210,12,235,139.0,86,1.0,2227,4.0,1153
211,37,168,140.0,86,1.0,9537,1.0,1358
212,34,228,-1.0,86,1.0,4359,1.0,432
213,37,366,141.0,92,1.0,595,7.0,366
214,12,176,142.0,86,1.0,4033,4.0,1138
215,37,316,143.0,91,1.0,4347,5.0,321
216,37,398,144.0,94,1.0,6958,0.0,348
217,28,216,145.0,90,1.0,1621,16.0,536
218,37,339,146.0,87,1.0,2427,5.0,1358
219,12,257,147.0,87,1.0,3906,9.0,39
220,19,325,148.0,92,2.0,14648,1.0,1266
221,37,436,149.0,90,1.0,8947,0.0,1340
222,19,358,150.0,89,1.0,1957,14.0,828
223,37,328,151.0,93,1.0,8686,11.0,1358
224,37,273,-1.0,89,1.0,14095,5.0,321
225,37,252,152.0,90,1.0,13606,7.0,901
226,37,194,153.0,87,1.0,11444,13.0,369
227,19,332,154.0,88,2.0,2088,21.0,1247
228,37,230,-1.0,89,1.0,13410,19.0,268
229,7,196,-1.0,82,1.0,13859,0.0,225
230,7,312,155.0,90,1.0,12096,1.0,737
231,37,336,156.0,86,1.0,5011,7.0,399
232,12,284,-1.0,94,1.0,3416,11.0,81
233,19,281,157.0,90,1.0,10229,2.0,732
234,0,241,-1.0,86,1.0,6257,4.0,754
235,37,215,38.0,87,1.0,14328,0.0,1358
236,37,184,158.0,88,1.0,12577,7.0,892
237,37,315,159.0,86,1.0,10852,0.0,377
238,19,269,-1.0,93,2.0,7212,1.0,1215
239,37,166,160.0,89,1.0,6879,7.0,902
240,19,327,161.0,91,1.0,12264,2.0,941
241,28,208,162.0,87,1.0,11415,16.0,536
242,37,406,-1.0,92,1.0,11011,11.0,1358
243,0,232,105.0,82,1.0,11315,5.0,907
244,37,203,-1.0,86,1.0,7900,7.0,369
245,37,178,-1.0,87,1.0,13919,5.0,344
246,37,233,163.0,92,1.0,13707,5.0,321
247,37,277,-1.0,86,1.0,10383,7.0,348
248,0,174,164.0,87,1.0,265,0.0,754
249,37,217,165.0,85,1.0,267,1.0,244
250,37,139,-1.0,86,1.0,1650,5.0,244
251,19,247,166.0,88,1.0,6422,1.0,1239
252,37,190,167.0,89,1.0,12141,13.0,1368
253,12,289,-1.0,92,1.0,3320,11.0,57
254,12,359,168.0,92,1.0,9642,22.0,11
255,37,218,169.0,88,1.0,1633,1.0,321
256,19,275,170.0,89,2.0,9582,23.0,841
257,3,363,171.0,95,1.0,6805,22.0,1344
258,12,275,172.0,95,1.0,12942,20.0,510
259,3,203,173.0,92,1.0,448,8.0,110
260,34,146,174.0,88,1.0,2164,0.0,857
261,34,291,175.0,85,1.0,13898,1.0,432
262,15,344,-1.0,88,1.0,11662,14.0,523
263,12,314,176.0,89,1.0,5729,13.0,1001
264,12,261,177.0,89,1.0,14476,7.0,11
265,37,304,178.0,90,1.0,5991,21.0,1358
266,12,302,-1.0,90,1.0,3166,3.0,87
267,37,239,179.0,91,1.0,5981,5.0,321
268,37,225,180.0,93,1.0,7364,5.0,337
269,28,197,181.0,85,1.0,11349,17.0,1192
270,7,268,182.0,86,1.0,14195,5.0,516
271,37,291,183.0,90,1.0,7559,11.0,321
272,12,212,-1.0,85,1.0,3650,11.0,63
273,19,318,-1.0,93,1.0,2081,12.0,1216
274,7,184,-1.0,81,1.0,12578,5.0,516
275,37,277,-1.0,92,1.0,9697,5.0,321
276,12,138,184.0,85,1.0,5828,7.0,160
277,37,236,-1.0,87,1.0,9787,5.0,230
278,37,254,-1.0,91,1.0,6865,21.0,241
279,37,297,9.0,90,1.0,8652,13.0,370
280,37,374,185.0,91,2.0,7130,5.0,230
281,12,195,-1.0,89,1.0,4181,11.0,85
282,28,314,186.0,85,1.0,11349,16.0,1192
283,19,226,-1.0,88,1.0,14670,1.0,1247
284,0,292,-1.0,86,1.0,6482,4.0,754
285,37,259,187.0,87,1.0,7317,1.0,1358
286,37,276,188.0,86,1.0,261,4.0,1360
287,37,320,189.0,94,1.0,1073,0.0,305
288,12,242,177.0,89,1.0,1401,7.0,11
289,12,179,-1.0,87,1.0,2809,11.0,79
290,7,252,190.0,87,1.0,8646,0.0,987
291,37,197,-1.0,90,1.0,5113,7.0,902
292,37,254,-1.0,88,1.0,6625,21.0,370
293,37,179,191.0,86,1.0,12758,13.0,1358
294,37,305,-1.0,90,1.0,1190,5.0,344
295,34,311,192.0,90,1.0,1630,25.0,860
296,37,296,193.0,93,1.0,751,7.0,399
297,37,135,194.0,85,1.0,8370,0.0,388
298,19,199,195.0,86,1.0,14272,1.0,1247
299,15,213,196.0,88,1.0,5293,14.0,931
300,37,238,197.0,88,1.0,7435,7.0,348
301,26,185,-1.0,86,1.0,1445,7.0,1098
302,37,108,198.0,82,1.0,14433,21.0,337
303,37,196,178.0,90,1.0,13717,13.0,1370
304,28,237,199.0,89,1.0,2032,17.0,766
305,28,217,200.0,87,1.0,7109,16.0,33
306,12,262,201.0,94,2.0,9273,20.0,510
307,37,188,202.0,84,1.0,2498,5.0,337
308,37,147,203.0,85,1.0,8220,5.0,388
309,28,300,204.0,93,1.0,12551,16.0,8
310,37,158,205.0,91,1.0,2427,5.0,1360
311,7,315,206.0,87,1.0,1970,13.0,1027
312,19,235,207.0,92,1.0,766,12.0,1252
313,37,316,208.0,90,1.0,6786,5.0,244
314,12,259,209.0,85,1.0,5897,23.0,12
315,37,264,105.0,90,1.0,10257,0.0,388
316,37,388,210.0,87,1.0,930,7.0,253
317,3,112,-1.0,86,1.0,7715,10.0,110
318,12,227,211.0,94,1.0,222,7.0,138
319,37,233,-1.0,85,1.0,12783,8.0,1338
320,37,373,212.0,90,2.0,148,7.0,886
321,28,177,213.0,86,1.0,4604,16.0,8
322,37,174,214.0,88,1.0,14654,22.0,1358
323,37,254,9.0,92,1.0,7876,0.0,348
324,37,238,38.0,90,1.0,9732,5.0,1358
325,0,257,215.0,84,1.0,9069,5.0,751
326,37,278,216.0,89,1.0,9466,11.0,1358
327,19,260,-1.0,88,1.0,1723,12.0,1216
328,12,209,217.0,86,1.0,5588,19.0,1007
329,37,286,-1.0,90,1.0,310,5.0,321
330,19,249,-1.0,92,1.0,8761,12.0,1216
331,37,194,178.0,87,1.0,348,0.0,1368
332,7,241,218.0,85,1.0,12108,5.0,987
333,7,405,-1.0,87,1.0,12962,5.0,685
334,37,223,219.0,86,1.0,6045,13.0,337
335,19,247,-1.0,86,1.0,2133,2.0,939
336,37,434,220.0,96,1.0,9747,7.0,348
337,37,223,221.0,91,1.0,12536,21.0,321
338,37,222,-1.0,86,1.0,11759,21.0,1360
339,37,326,-1.0,92,1.0,13358,5.0,321
340,28,167,-1.0,85,1.0,4656,19.0,7
341,7,295,222.0,84,1.0,2474,15.0,746
342,19,244,223.0,89,1.0,10709,14.0,1048
343,37,336,224.0,91,1.0,919,7.0,234
344,12,163,18.0,90,1.0,2645,11.0,95
345,37,267,-1.0,90,1.0,9225,26.0,377
346,37,352,225.0,84,1.0,482,1.0,805
347,37,196,226.0,90,1.0,14401,7.0,378
348,37,310,227.0,88,1.0,7239,22.0,369
349,37,197,228.0,90,1.0,5991,21.0,1358
350,37,212,229.0,92,1.0,148,7.0,896
351,19,342,230.0,92,1.0,811,1.0,1247
352,12,309,231.0,91,1.0,8688,9.0,46
353,37,331,232.0,90,1.0,12239,7.0,399
354,37,312,233.0,88,1.0,7828,7.0,348
355,34,179,-1.0,83,1.0,12063,25.0,860
356,37,268,-1.0,88,1.0,2427,0.0,1358
357,37,261,234.0,90,1.0,12512,0.0,1370
358,37,204,-1.0,87,1.0,7354,5.0,321
359,12,188,-1.0,87,1.0,4017,11.0,58
360,37,227,235.0,92,1.0,9744,7.0,901
361,3,205,236.0,92,1.0,9009,10.0,620
362,7,171,237.0,80,1.0,6163,27.0,987
363,37,197,-1.0,88,1.0,310,8.0,321
364,37,234,238.0,88,1.0,8586,7.0,1368
365,37,318,239.0,92,1.0,10443,7.0,234
366,12,162,-1.0,85,1.0,2210,22.0,11
367,37,244,240.0,92,1.0,1560,0.0,276
368,37,298,-1.0,88,1.0,9,22.0,1369
369,37,307,241.0,91,2.0,12292,11.0,321
370,19,275,242.0,89,1.0,381,1.0,1249
371,19,176,243.0,88,1.0,14274,24.0,825
372,37,214,244.0,85,1.0,5026,11.0,1367
373,37,215,-1.0,85,1.0,8605,22.0,805
374,12,192,245.0,94,1.0,4358,11.0,96
375,37,154,106.0,84,1.0,10426,1.0,13
376,37,246,246.0,85,1.0,7580,27.0,812
377,19,151,-1.0,85,1.0,14032,1.0,1243
378,37,159,247.0,86,1.0,6613,12.0,1365
379,19,201,248.0,92,1.0,2143,2.0,939
380,37,327,249.0,90,1.0,11769,0.0,404
381,0,123,250.0,83,1.0,14203,21.0,754
382,12,191,251.0,91,1.0,2374,15.0,695
383,37,214,105.0,87,1.0,987,8.0,388
384,37,127,-1.0,80,1.0,9244,24.0,304
385,28,227,252.0,86,1.0,11366,17.0,1334
386,19,276,253.0,93,1.0,7252,2.0,941
387,37,237,-1.0,85,1.0,5882,21.0,336
388,37,184,254.0,85,1.0,4920,0.0,902
389,7,137,-1.0,84,1.0,13858,1.0,506
390,6,225,255.0,90,1.0,2204,22.0,876
391,14,210,256.0,88,1.0,9047,22.0,777
392,37,221,257.0,91,1.0,9701,4.0,230
393,37,276,258.0,87,1.0,9226,7.0,234
394,7,255,259.0,88,1.0,8646,8.0,226
395,37,114,-1.0,87,1.0,1584,24.0,1369
396,12,201,260.0,86,1.0,5261,26.0,11
397,7,279,261.0,89,1.0,9869,5.0,987
398,12,294,177.0,88,1.0,10621,20.0,510
399,12,181,262.0,86,1.0,5749,0.0,715
400,12,144,5.0,84,1.0,6161,7.0,11
401,12,161,18.0,93,1.0,3306,11.0,81
402,12,180,-1.0,85,1.0,9095,0.0,202
403,37,275,-1.0,90,1.0,5898,5.0,388
404,12,211,-1.0,87,1.0,9093,0.0,210
405,37,230,-1.0,89,1.0,9630,8.0,1358
406,37,229,263.0,90,1.0,410,11.0,386
407,19,204,-1.0,88,1.0,6963,1.0,1256
408,12,388,264.0,92,1.0,5510,22.0,11
409,37,325,-1.0,87,1.0,7615,12.0,244
410,37,281,265.0,95,1.0,6012,0.0,276
411,37,354,266.0,88,1.0,6005,11.0,1367
412,37,297,267.0,87,1.0,14473,6.0,348
413,33,410,268.0,92,1.0,12462,13.0,1182
414,37,364,269.0,96,2.0,6831,5.0,349
415,12,159,270.0,90,1.0,5661,0.0,217
416,37,292,271.0,95,1.0,7557,4.0,313
417,37,165,272.0,83,1.0,6388,13.0,292
418,37,293,273.0,91,1.0,1032,0.0,305
419,12,176,274.0,87,1.0,5496,0.0,217
420,37,196,275.0,89,1.0,7899,19.0,897
421,37,146,276.0,87,1.0,8303,13.0,290
422,37,120,-1.0,87,1.0,1584,0.0,1358
423,34,315,277.0,87,1.0,11475,1.0,680
424,19,311,278.0,92,1.0,13906,14.0,842
425,37,395,279.0,94,1.0,6334,7.0,348
426,3,372,280.0,94,1.0,12175,10.0,620
427,7,203,40.0,88,1.0,4695,0.0,737
428,0,380,281.0,92,2.0,1202,4.0,754
429,34,244,282.0,83,1.0,11822,25.0,860
430,37,264,-1.0,91,1.0,6878,5.0,1358
431,37,187,283.0,88,1.0,5991,1.0,1369
432,37,259,284.0,90,1.0,126,5.0,1365
433,0,186,145.0,85,1.0,11318,4.0,754
434,37,232,80.0,90,1.0,1014,13.0,369
435,12,227,-1.0,89,1.0,3257,11.0,77
436,0,270,285.0,86,1.0,11315,4.0,907
437,12,222,286.0,94,2.0,1083,0.0,510
438,34,219,127.0,86,1.0,14224,25.0,859
439,37,283,105.0,88,1.0,10164,15.0,372
440,0,229,145.0,85,1.0,577,0.0,754
441,37,203,287.0,90,1.0,9222,8.0,267
442,28,165,288.0,86,1.0,7527,16.0,7
443,19,334,289.0,94,1.0,2037,2.0,941
444,37,218,290.0,92,1.0,12601,0.0,377
445,19,312,291.0,95,1.0,13126,21.0,1247
446,26,310,-1.0,86,1.0,6248,26.0,744
447,37,244,292.0,87,1.0,14464,1.0,1358
448,37,336,293.0,91,1.0,7286,7.0,377
449,26,202,294.0,88,1.0,8273,23.0,743
450,28,162,295.0,88,1.0,11925,16.0,536
451,3,251,-1.0,90,1.0,14637,14.0,1383
452,12,206,-1.0,90,1.0,3885,11.0,65
453,12,335,296.0,91,1.0,3782,18.0,1005
454,37,267,-1.0,91,1.0,10332,15.0,1368
455,28,144,297.0,84,1.0,1737,17.0,1334
456,37,342,-1.0,92,2.0,6383,5.0,335
457,28,116,298.0,85,1.0,14519,17.0,1192
458,19,356,299.0,93,1.0,519,2.0,950
459,12,163,-1.0,84,1.0,2966,19.0,62
460,19,191,-1.0,90,1.0,14037,1.0,1266
461,37,174,105.0,86,1.0,1012,7.0,902
462,37,131,300.0,86,1.0,9842,1.0,337
463,37,228,105.0,91,1.0,1542,7.0,891
464,19,265,301.0,86,1.0,6432,1.0,1105
465,37,147,302.0,86,1.0,4711,13.0,321
466,12,246,-1.0,88,1.0,5790,0.0,1148
467,37,211,303.0,90,1.0,12771,5.0,321
468,12,238,-1.0,89,1.0,3121,11.0,63
469,19,316,304.0,87,1.0,7767,12.0,1216
470,37,422,305.0,93,1.0,6211,18.0,337
471,12,191,23.0,86,1.0,10352,7.0,117
472,19,202,-1.0,87,1.0,13824,1.0,1256
473,37,160,306.0,83,1.0,2351,21.0,811
474,37,383,307.0,92,1.0,6875,7.0,377
475,12,191,308.0,88,1.0,3681,3.0,1141
476,12,331,309.0,94,1.0,7148,20.0,510
477,19,267,-1.0,88,1.0,9937,1.0,1288
478,12,156,310.0,85,1.0,7310,8.0,570
479,37,200,-1.0,91,1.0,7583,5.0,321
480,37,186,311.0,83,1.0,1700,13.0,404
481,0,194,312.0,85,1.0,8589,4.0,751
482,37,220,-1.0,88,1.0,4842,5.0,1358
483,37,260,313.0,91,1.0,4781,15.0,1370
484,7,270,314.0,86,1.0,12051,5.0,524
485,37,292,-1.0,91,1.0,10522,11.0,1370
486,37,246,105.0,88,1.0,11855,27.0,805
487,18,266,315.0,86,1.0,11545,1.0,584
488,26,184,-1.0,91,2.0,5966,7.0,744
489,0,326,316.0,90,1.0,6595,4.0,758
490,37,73,-1.0,82,1.0,411,8.0,337
491,28,102,317.0,85,1.0,6019,16.0,686
492,37,219,318.0,84,1.0,592,7.0,348
493,37,293,319.0,92,1.0,4895,5.0,289
494,37,429,320.0,88,1.0,99,14.0,902
495,37,464,321.0,92,1.0,7411,6.0,348
496,37,354,322.0,93,1.0,11773,5.0,230
497,2,295,-1.0,91,3.0,4425,5.0,1377
498,37,253,323.0,90,1.0,1447,14.0,370
499,12,293,324.0,92,1.0,254,7.0,219
500,37,264,325.0,92,1.0,9227,7.0,348
501,12,208,326.0,90,1.0,6506,19.0,1005
502,12,180,327.0,90,1.0,3142,11.0,86
503,12,268,-1.0,90,1.0,3517,11.0,77
504,37,171,177.0,87,1.0,7876,23.0,348
505,37,308,328.0,92,1.0,6349,1.0,404
506,19,197,329.0,91,1.0,5868,14.0,1307
507,37,304,330.0,90,1.0,4941,6.0,276
508,37,366,-1.0,95,2.0,1894,5.0,313
509,34,181,331.0,85,1.0,1912,14.0,860
510,12,203,332.0,91,1.0,5452,7.0,129
511,4,272,333.0,85,1.0,1973,5.0,1035
512,37,184,-1.0,85,1.0,6217,26.0,893
513,37,263,105.0,91,1.0,14647,5.0,337
514,37,201,334.0,90,1.0,12540,6.0,274
515,37,124,335.0,81,1.0,12639,1.0,348
516,37,242,112.0,88,1.0,8358,5.0,321
517,12,183,-1.0,86,1.0,3906,0.0,117
518,37,247,-1.0,90,1.0,527,8.0,1358
519,19,285,-1.0,92,1.0,2055,2.0,953
520,37,160,-1.0,86,1.0,13647,21.0,321
521,37,302,-1.0,89,1.0,12959,0.0,1358
522,37,233,-1.0,85,1.0,4929,7.0,249
523,37,249,105.0,88,1.0,4456,7.0,892
524,37,343,336.0,92,1.0,2428,22.0,1358
525,0,303,145.0,92,1.0,13880,15.0,904
526,37,308,337.0,93,1.0,6673,7.0,359
527,12,189,338.0,88,1.0,10621,20.0,510
528,37,248,339.0,91,1.0,12972,7.0,332
529,37,342,340.0,96,1.0,14473,7.0,234
530,2,256,341.0,86,1.0,10861,26.0,1082
531,37,239,-1.0,88,1.0,6312,7.0,891
532,19,199,-1.0,87,1.0,6348,21.0,485
533,37,195,342.0,88,1.0,8049,1.0,337
534,37,421,343.0,94,1.0,1348,7.0,399
535,3,296,344.0,93,1.0,9471,22.0,1207
536,19,282,345.0,92,1.0,1963,12.0,1219
537,37,158,-1.0,85,1.0,4969,1.0,378
538,0,254,346.0,88,1.0,1218,4.0,914
539,19,361,347.0,92,1.0,9405,12.0,1216
540,37,357,348.0,93,2.0,741,5.0,335
541,37,149,-1.0,84,1.0,9733,22.0,1370
542,7,230,349.0,89,1.0,4563,22.0,225
543,34,279,145.0,87,1.0,14244,25.0,859
544,28,255,350.0,87,1.0,1954,16.0,7
545,37,401,-1.0,92,1.0,1485,7.0,321
546,19,177,-1.0,87,1.0,10311,12.0,1218
547,37,202,351.0,87,1.0,1291,25.0,337
548,12,189,-1.0,88,1.0,3906,9.0,46
